customer_id,customer_name,age,city,product_id,product_name,category,purchase_date,purchase_quantity,price_per_unit,total_spent
1,Ronald Miller,63.0,Wilsonstad,141,Granola,Vegetable,2024-10-21,1.0,13.33,13.33
2,Eric White,26.0,North Brianside,172,Organic Apples,Vegetable,2024-08-15,2.0,1.04,2.08
3,Joseph Wagner,59.0,Lake Derek,186,Granola,Dairy,2024-07-16,1.0,15.33,15.33
4,Elizabeth House,43.0,Cindyborough,110,Granola,Snack,2024-09-18,1.0,10.55,10.55
5,Shawn Warner,56.0,North Hannah,147,Fresh Milk,Snack,2024-10-09,1.0,12.25,12.25
6,Benjamin Neal,38.0,Lake Nicholasburgh,137,Organic Apples,Snack,2024-07-10,1.0,1.27,1.27
7,Danielle Hayden,41.0,South Meganborough,114,Kale,Organic,2024-05-09,4.0,17.78,71.12
8,William Lee,46.0,Ericabury,105,Kale,Snack,2024-07-25,1.0,14.81,14.81
9,Steven Brown,25.0,Nicoleview,162,Tofu,Snack,2024-08-09,4.0,14.42,57.68
10,Heidi Brown,75.0,East Mariaborough,106,Fresh Milk,Dairy,2024-07-28,1.0,16.14,16.14
11,Patrick Snyder,73.0,South Christopher,129,Granola,Organic,2024-08-21,3.0,15.95,47.849999999999994
12,Brenda Reed,38.0,Lake Joshua,129,Kale,Vegetable,2024-05-10,3.0,5.48,16.44
13,Daniel Hawkins,64.0,Liview,191,Almond Butter,Organic,2024-01-26,3.0,5.12,15.36
14,Melissa Barnes,25.0,North Felicialand,164,Almond Butter,Dairy,2024-11-01,4.0,13.51,54.04
16,Cynthia Lewis,60.0,West Ricardo,100,Kale,Dairy,2024-03-20,3.0,10.74,32.22
17,Michael Callahan,54.0,Vargasmouth,100,Organic Apples,Organic,2024-06-13,3.0,12.63,37.89
18,Megan Charles,34.0,Richardville,140,Organic Apples,Dairy,2024-05-25,2.0,8.12,16.24
19,Mrs. Emily Murphy,27.0,Michaelmouth,172,Almond Butter,Dairy,2024-02-27,2.0,19.5,39.0
20,William Smith,24.0,Lukeland,127,Tofu,Organic,2024-03-27,2.0,1.12,2.24
21,Mr. Cody Haynes,30.0,Jasonport,101,Kale,Snack,2024-05-25,1.0,482.05,482.05
22,Kaitlin Munoz,79.0,Port Williamport,118,Fresh Milk,Snack,2024-07-04,3.0,17.68,53.04
23,Matthew Rodriguez,23.0,Nataliefort,152,Almond Butter,Vegetable,2024-03-03,1.0,12.49,12.49
24,Steven Fitzgerald,75.0,Catherineburgh,129,Fresh Milk,Vegetable,2024-07-26,3.0,19.27,57.81
25,Henry Evans,55.0,Tanyaton,160,Organic Apples,Dairy,2024-08-05,1.0,13.58,13.58
26,Geoffrey Owens,64.0,Robertsshire,185,Fresh Milk,Vegetable,2024-01-15,3.0,9.59,28.77
27,Lawrence Brown,67.0,South Michaelton,190,Fresh Milk,Snack,2024-09-15,2.0,16.3,32.6
28,Robert Everett,25.0,Lakp Brian,160,TOFU,Vegetable,2024-06-16,4.0,3.35,13.4
29,George Jimenez,66.0,Johnsonshire,181,Tofu,Organic,2024-03-23,4.0,16.8,67.2
30,Donna Williams,44.0,Lewisfort,133,Kale,Snack,2024-03-11,4.0,11.74,46.96
31,Stephanie Allen,50.0,South Andrew,183,Almond Butter,Snack,2024-01-10,1.0,12.9,12.9
32,Jonathan Mcmahon,25.0,South Jenniferfurt,163,Fresh Milk,Dairy,2024-05-18,3.0,10.57,31.71
33,Beverly Knight,76.0,Lake Nicolechester,192,Granola,Vegetable,2024-04-23,3.0,18.9,56.699999999999996
34,Carrie Pena,19.0,Turnerborough,107,Tofu,Snack,2024-10-01,2.0,4.51,9.02
35,Brenda Arroyo,53.0,Pamelaport,189,Fresh Milk,Organic,2024-05-04,4.0,10.14,40.56
36,Robert Thomas,65.0,New Rachelmouth,170,Organic Apples,Dairy,2024-08-23,2.0,17.92,35.84
37,Thomas Jackson,28.0,East Cynthia,187,Almond Butter,Dairy,2024-09-20,2.0,16.0,32.0
39,Travis West,31.0,East Rachel,106,Kale,Dairy,2024-04-02,3.0,7.58,22.740000000000002
40,Michael Byrd,28.0,West Brian,157,Granola,Dairy,2024-09-09,4.0,12.62,50.48
41,James Palmer,40.0,Lake Susan,147,Organic Apples,Snack,2024-04-21,4.0,19.68,78.72
42,David Jones,37.0,Lake Antonio,155,Granola,Dairy,2024-04-09,3.0,7.72,23.16
43,Heidi Clark,20.0,West Marcus,153,Kale,Dairy,2024-01-22,3.0,5.27,15.809999999999999
44,Theresa Garza,48.0,Vincentside,147,Almond Butter,Snack,2024-10-23,4.0,12.12,48.48
45,Timothy Beasley,18.0,Andersonchester,197,Fresh Milk,Dairy,2024-06-21,2.0,14.93,29.86
46,Allen Parks,35.0,North Alexis,124,Almond Butter,Snack,2024-02-23,2.0,3.11,6.22
47,Heather Keller,62.0,West Stephen,125,Almond Butter,Dairy,2024-05-05,1.0,12.27,12.27
49,Alison Watkins,56.0,Williamsstad,110,Kale,Snack,2024-02-29,2.0,14.81,29.62
50,Teresa Adams,76.0,Zacharyburgh,188,Tofu,Dairy,2024-02-22,1.0,17.59,17.59
51,Melissa Wang,50.0,Lake Randallhaven,129,Granola,Snack,2024-01-29,3.0,19.24,57.72
52,Mr. Anthony Gonzales,38.0,Johnfurt,129,Tofu,Dairy,2024-04-17,3.0,17.55,52.650000000000006
53,Betty Calderon,48.0,Flemingmouth,133,Kale,Organic,2024-10-07,3.0,5.39,16.169999999999998
54,Valerie Sanders,73.0,New Robertberg,138,Kale,Snack,2024-05-06,2.0,9.42,18.84
55,Mrs. Denise Dawson,30.0,Barnettfurt,179,Organic Apples,Organic,2024-05-25,3.0,9.79,29.369999999999997
56,Kim Murphy,49.0,South Theresaview,128,Organic Apples,Vegetable,2024-02-10,3.0,15.97,47.910000000000004
57,Diane Ford,67.0,Hamiltonborough,157,Kale,Dairy,2024-08-17,4.0,13.52,54.08
58,Todd Atkinson,25.0,Aarontown,145,Organic Apples,Snack,2024-10-06,4.0,6.18,24.72
59,Brittney Wilson,67.0,East Timothy,142,Granola,Snack,2024-08-15,4.0,17.57,70.28
60,Mary Larson,74.0,Birdside,160,Kale,Vegetable,2024-01-23,1.0,6.62,6.62
61,Laura Mendoza,79.0,Port Amberchester,100,Organic Apples,Vegetable,2024-01-30,4.0,16.06,64.24
62,Nancy Gonzalez,43.0,Josephstad,176,Almond Butter,Snack,2024-10-07,2.0,4.66,9.32
63,Gregory Daniel,24.0,Port Joanna,162,Almond Butter,Dairy,2024-05-17,3.0,14.3,42.900000000000006
64,Courtney Eaton,24.0,Port Courtneyview,136,Organic Apples,Organic,2024-07-18,1.0,12.07,12.07
65,Cathy Glenn,29.0,Bartlettmouth,171,Kale,Organic,2024-07-16,2.0,8.86,17.72
66,Nicholas Lopez,39.0,Wisetown,114,Tofu,Dairy,2024-04-27,2.0,2.98,5.96
67,Mrs. Gabrielle Carroll,69.0,North Tonya,179,Organic Apples,Snack,2024-04-25,2.0,4.19,8.38
68,Mary Nelson,67.0,North Patricia,187,Kale,Snack,2024-10-09,4.0,15.73,62.92
69,Ryan Stevenson,61.0,South Jessemouth,167,Tofu,Dairy,2024-08-19,2.0,18.84,37.68
70,Austin Parker,76.0,Port Geraldview,165,Granola,Organic,2024-07-23,1.0,11.85,11.85
71,Shawn Khan,34.0,Aprilview,129,Fresh Milk,Vegetable,2024-05-02,4.0,16.0,64.0
72,Virginia Shepherd,57.0,South Amyside,105,Almond Butter,Snack,2024-09-22,1.0,5.74,5.74
73,Jennifer Reeves,39.0,Nicholaschester,152,Almond Butter,Vegetable,2024-10-14,3.0,11.7,35.099999999999994
74,Timothy Nelson,63.0,Lake Lorichester,131,Kale,Dairy,2024-05-13,1.0,18.09,18.09
75,Joseph Wells,64.0,East Sonyaview,139,Tofu,Dairy,2024-07-25,1.0,12.18,12.18
77,Jesse Stein,58.0,Port Jonathan,176,Fresh Milk,Vegetable,2024-01-05,3.0,7.74,23.22
78,James Bryant,71.0,Blakemouth,155,Kale,Dairy,2024-02-08,3.0,13.6,40.8
79,Richard Watson,19.0,Brandyberg,110,Almond Butter,Snack,2024-02-20,3.0,5.96,17.88
80,Seth Long,71.0,Lawsonview,137,Granola,Snack,2024-09-27,1.0,18.35,18.35
81,Jonathan Edwards,34.0,Morganbury,133,Almond Butter,Organic,2024-10-12,1.0,19.3,19.3
82,Larry Wiggins,78.0,Bakerfurt,113,Tofu,Organic,2024-07-18,2.0,1.26,2.52
83,Renee Gomez,41.0,Lake Brandon,178,Tofu,Organic,2024-10-01,4.0,14.22,56.88
84,Krystal Taylor,41.0,Cooperborough,161,Fresh Milk,Organic,2024-09-27,1.0,7.85,7.85
85,Alicia Campbell,25.0,Joeltown,186,Granola,Dairy,2024-05-28,3.0,11.46,34.38
86,William Wood,30.0,Lake Anita,125,Granola,Organic,2024-01-29,3.0,14.28,42.839999999999996
87,Allison Fisher,48.0,West Ryan,112,Fresh Milk,Dairy,2024-03-13,2.0,4.4,8.8
88,Ryan Wright,63.0,Colefort,174,Granola,Snack,2024-05-03,4.0,15.43,61.72
89,John Dean,51.0,Jonesmouth,182,Almond Butter,Snack,2024-03-14,3.0,14.36,43.08
90,Scott Johnson,29.0,Chavezshire,113,Organic Apples,Organic,2024-05-17,2.0,5.64,11.28
91,Shelby Gonzalez,24.0,Leeland,136,Tofu,Organic,2024-09-06,3.0,19.4,58.199999999999996
92,Stacy Woods,59.0,New Diana,129,Almond Butter,Organic,2024-02-08,4.0,8.31,33.24
93,Ms. Selena Marquez,27.0,Christopherton,157,Almond Butter,Vegetable,2024-01-11,2.0,2.13,4.26
94,Jacob Foster,72.0,Lake Samanthaview,176,Kale,Snack,2024-01-01,4.0,8.64,34.56
95,Preston Kerr,31.0,Michaelville,102,Tofu,Dairy,2024-08-27,2.0,17.32,34.64
96,Patrick Dixon,47.0,East Marissaton,132,Kale,Organic,2024-03-22,3.0,5.5,16.5
97,Erin Rogers,71.0,Garrisonbury,157,Tofu,Snack,2024-08-19,1.0,9.77,9.77
98,Carl Phillips,68.0,Hardymouth,158,Granola,Snack,2024-08-08,4.0,13.9,55.6
100,Raymond Garcia,40.0,Fosterburgh,140,Tofu,Dairy,2024-07-29,3.0,10.63,31.89
101,Daniel Choi,67.0,North Meganberg,158,Granola,Vegetable,2024-10-05,1.0,10.11,10.11
102,Kayla Williams,20.0,Port Daltonside,103,Fresh Milk,Vegetable,2024-08-09,4.0,7.27,29.08
103,Toni Gardner,71.0,Jimenezview,190,Almond Butter,Organic,2024-01-26,3.0,3.13,9.39
104,Justin Buckley,59.0,West Frank,121,Almond Butter,Vegetable,2024-09-30,3.0,15.69,47.07
105,Sonya Conway,79.0,Port Davidburgh,172,Organic Apples,Snack,2024-04-17,2.0,8.8,17.6
106,Andrew Garza,57.0,West Justin,163,Fresh Milk,Organic,2024-05-05,4.0,8.17,32.68
107,Brian Greene,78.0,Aguilarhaven,143,Organic Apples,Vegetable,2024-05-14,4.0,16.15,64.6
108,Jason Mccormick,70.0,New Loristad,132,Kale,Organic,2024-07-08,1.0,18.71,18.71
109,Keith Williams,27.0,Michellefort,142,Tofu,Organic,2024-04-17,1.0,6.51,6.51
110,Thomas Shaw,35.0,Calderonside,150,Almond Butter,Vegetable,2024-04-18,3.0,15.08,45.24
111,Rebecca Anderson,27.0,Easr Kayla,101,KALE,Snack,2024-08-10,1.0,3.29,3.29
112,Roger Lara,63.0,West Kellyberg,171,Organic Apples,Dairy,2024-09-08,3.0,16.65,49.949999999999996
113,Marco Jacobson,60.0,Portertown,102,Kale,Snack,2024-06-26,2.0,6.53,13.06
114,Vanessa Wood,55.0,Gailview,111,Granola,Dairy,2024-04-01,1.0,17.69,17.69
115,Matthew Aguilar,79.0,Juliachester,186,Granola,Dairy,2024-03-18,3.0,7.52,22.56
116,Calvin King,46.0,Port Edwin,170,Granola,Dairy,2024-09-27,1.0,1.1,1.1
117,David Owens,35.0,North Michaelstad,131,Granola,Organic,2024-08-30,1.0,12.42,12.42
118,Paul Weber,55.0,Lake Joeside,177,Fresh Milk,Snack,2024-04-13,2.0,12.12,24.24
119,Jason Brown,59.0,South Jamie,129,Tofu,Snack,2024-07-17,4.0,18.3,73.2
120,Diana Smith,46.0,New Charles,189,Tofu,Vegetable,2024-02-02,4.0,14.44,57.76
121,Scott Sanchez,65.0,Brandonmouth,182,Organic Apples,Organic,2024-09-22,2.0,16.7,33.4
123,Valerie Blake,61.0,Murphyborough,163,Kale,Vegetable,2024-09-01,1.0,14.71,14.71
124,Christine Burch,27.0,Port Aaron,110,Tofu,Snack,2024-04-14,4.0,4.58,18.32
125,Cindy Guzman,22.0,West Jasontown,174,Organic Apples,Snack,2024-02-24,1.0,17.67,17.67
126,Donald Ford,77.0,South Susan,136,Fresh Milk,Organic,2024-02-05,4.0,7.98,31.92
127,Stephanie Bentley,28.0,East Troy,178,Organic Apples,Snack,2024-10-24,2.0,19.46,38.92
128,Joseph Rivera,69.0,South Kimberlyhaven,161,Almond Butter,Snack,2024-02-27,3.0,2.3,6.8999999999999995
129,Mindy Guzman,35.0,East Joannaville,120,Almond Butter,Snack,2024-07-09,2.0,10.12,20.24
130,Christine Nixon,79.0,East Amychester,137,Organic Apples,Snack,2024-02-04,2.0,13.09,26.18
131,Olivia Travis,71.0,Franceston,180,Granola,Organic,2024-02-12,2.0,16.79,33.58
132,Thomas Fox,23.0,Johnsonview,158,Almond Butter,Snack,2024-03-26,1.0,3.95,3.95
133,Jon Baker,29.0,Laceyport,162,Fresh Milk,Organic,2024-08-08,2.0,18.84,37.68
134,Dawn Moses,18.0,New Alexander,138,Organic Apples,Vegetable,2024-03-21,4.0,12.15,48.6
135,Nathan Hill,58.0,New Tracytown,192,Organic Apples,Organic,2024-05-10,3.0,3.02,9.06
137,John Clark,73.0,Wilkinsview,161,Organic Apples,Dairy,2024-08-25,3.0,1.09,3.2700000000000005
138,Tara Willis,52.0,Lake Barry,168,Tofu,Organic,2024-10-25,2.0,1.91,3.82
139,Charles Murray,53.0,Lake Joy,103,Tofu,Vegetable,2024-08-01,3.0,15.16,45.480000000000004
140,Mr. David Erickson MD,71.0,Molinatown,156,Organic Apples,Dairy,2024-04-16,3.0,8.08,24.240000000000002
141,Tiffany Nguyen,63.0,East Lori,113,Almond Butter,Organic,2024-03-11,3.0,17.79,53.37
142,Holly David,65.0,Scottmouth,173,Organic Apples,Dairy,2024-04-20,2.0,8.55,17.1
143,Chad Stephenson,55.0,New Charlesmouth,178,Kale,Vegetable,2024-09-12,4.0,4.59,18.36
144,Deanna Roberts,39.0,Port Rachel,130,Fresh Milk,Snack,2024-09-05,4.0,8.76,35.04
145,Robert Henry,69.0,Kellyshire,118,Tofu,Snack,2024-08-08,3.0,8.88,26.64
146,Dana Moore,27.0,New Karen,123,Organic Apples,Snack,2024-03-14,3.0,18.49,55.47
147,Steven Thompson,64.0,Hoffmanshire,158,Tofu,Organic,2024-01-26,4.0,8.78,35.12
148,Kevin Reed,52.0,Griffinport,141,Kale,Vegetable,2024-04-01,4.0,12.98,51.92
149,Lauren Johnson,74.0,North Ericstad,119,Kale,Vegetable,2024-04-25,4.0,17.74,70.96
150,Ronnie Rogers,44.0,Portermouth,192,Fresh Milk,Snack,2024-03-11,1.0,12.09,12.09
151,Eddie Wilcox,70.0,Elizabethshire,153,Kale,Organic,2024-04-24,2.0,12.15,24.3
152,Michael Quinn,46.0,Melissashire,190,Tofu,Snack,2024-05-09,1.0,15.11,15.11
153,David Finley,60.0,Raybury,151,Granola,Dairy,2024-11-06,3.0,19.49,58.47
154,Keith Parks,76.0,Jameston,157,Kale,Organic,2024-09-20,4.0,17.52,70.08
155,Kim Taylor,30.0,Annefurt,141,Organic Apples,Vegetable,2024-09-24,2.0,15.45,30.9
156,Derrick Davis,19.0,Brownside,184,Almond Butter,Snack,2024-06-26,4.0,2.07,8.28
157,Lisa Nguyen,45.0,East Staceyside,112,Tofu,Dairy,2024-07-13,3.0,1.33,3.99
158,Pamela Clarke,64.0,Christopherborough,166,Granola,Organic,2024-03-25,4.0,7.86,31.44
159,Kathryn Bauer,45.0,West David,180,Kale,Organic,2024-04-11,1.0,9.4,9.4
160,Jeremy Werner,40.0,Sethside,127,Almond Butter,Vegetable,2024-01-25,4.0,9.44,37.76
162,Olivia Medina,35.0,South Theresa,175,Organic Apples,Organic,2024-04-20,3.0,5.59,16.77
163,Teresa Bryant,66.0,New Tony,106,Tofu,Vegetable,2024-07-22,2.0,14.68,29.36
164,Karen Berry,31.0,Port Christine,120,Organic Apples,Vegetable,2024-02-21,1.0,19.94,19.94
165,Elizabeth Rich,28.0,Lake Darrellport,106,Fresh Milk,Organic,2024-02-21,4.0,11.45,45.8
166,Robert Harrison,33.0,West Gabrielle,108,Almond Butter,Snack,2024-04-19,1.0,6.41,6.41
167,Patrick Price,19.0,North Andreaberg,111,Almond Butter,Organic,2024-07-25,3.0,6.78,20.34
168,John Cook,52.0,East Katherine,120,Granola,Snack,2024-01-31,3.0,16.79,50.37
169,Brian Gonzalez,64.0,Englishton,186,Organic Apples,Dairy,2024-04-28,1.0,427.9,427.9
170,Justin Bruce,28.0,Lake Adam,108,Almond Butter,Dairy,2024-04-05,1.0,5.43,5.43
171,Patricia Lopez,33.0,Hoganfurt,173,Kale,Snack,2024-01-02,4.0,12.69,50.76
173,Maria Thomas,19.0,Joelfort,103,Kale,Organic,2024-03-05,1.0,12.85,12.85
175,Jacob Perry,37.0,Port Candacefurt,130,Granola,Vegetable,2024-09-09,2.0,4.25,8.5
176,Christina Smith,52.0,Lake Gregory,163,Kale,Dairy,2024-08-19,3.0,11.29,33.87
177,Cameron Foster,79.0,Alexanderberg,170,Organic Apples,Organic,2024-04-12,2.0,17.72,35.44
178,James Sanchez,57.0,Heberthaven,171,Kale,Dairy,2024-04-07,3.0,5.27,15.809999999999999
180,Laura Shaw,72.0,South Kathryn,170,Almond Butter,Snack,2024-07-26,3.0,11.89,35.67
181,Christopher Wright,47.0,Blankenshipberg,181,Organic Apples,Snack,2024-11-03,2.0,4.72,9.44
182,Brianna Nguyen,49.0,Samanthaton,101,Tofu,Dairy,2024-10-18,4.0,6.77,27.08
